Country Name,Country Code,Series Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total GDP
Monaco,MCO,GDP (current US$),5743029680,6555983530,7069616049,6261622101,6472990923,6431314957,7194024563,7383745662,6739691605,8596096984,68448116054
Mongolia,MNG,GDP (current US$),12292770631,12582122604,12226514722,11619892396,11181350461,11480847745,13178094459,14206359007,13312981595,15286441818,1.27E+11
Montenegro,MNE,GDP (current US$),4087725813,4466039315,4594024180,4054712083,4377033429,4856632399,5506766651,5542053845,4769860741,5861268039,48116116495
Morocco,MAR,GDP (current US$),98266306615,1.07E+11,1.19E+11,1.10E+11,1.12E+11,1.19E+11,1.27E+11,1.29E+11,1.21E+11,1.43E+11,1.19E+12
Mozambique,MOZ,GDP (current US$),16350804543,16974320551,17716084108,15950969019,11936999283,13219084261,14845402474,15390039242,14028811072,15776758633,1.52E+11
Myanmar,MMR,GDP (current US$),58318677645,60572257122,63264892768,63045305229,60291736894,61449392056,67144725831,68697759361,78930257227,65091751273,6.47E+11
Namibia,NAM,GDP (current US$),13042007432,12043276401,12435416063,11335179561,10721994676,12895153157,13682062251,12541928105,10581585630,12310595844,1.22E+11
Nauru,NRU,GDP (current US$),96927201.48,98491843.64,104654365.2,86529661.37,99723394.96,109359680.2,124021393.7,118724073.8,114626625.6,133218896.9,1086277137
Nepal,NPL,GDP (current US$),21703106502,22162208956,22731602970,24360795411,24524098185,28971589213,33111525872,34186190996,33433670512,36288830373,2.81E+11
Netherlands,NLD,GDP (current US$),8.39E+11,8.77E+11,8.92E+11,7.66E+11,7.84E+11,8.34E+11,9.14E+11,9.10E+11,9.10E+11,1.01E+12,8.74E+12
New Caledonia,NCL,GDP (current US$),9659153061,10151385306,10635039739,8738205837,8724570250,9173668102,9846922416,9438130987,9435529927,10071351960,95873957585
New Zealand,NZL,GDP (current US$),1.76E+11,1.91E+11,2.01E+11,1.78E+11,1.89E+11,2.07E+11,2.12E+11,2.13E+11,2.12E+11,2.50E+11,2.03E+12
Nicaragua,NIC,GDP (current US$),10532006608,10982979274,11880434071,12756706583,13286083645,13785909906,13025239912,12596636042,12586970511,14013022092,1.25E+11
Niger,NER,GDP (current US$),9426913349,10224897935,10862944204,9683867894,10398862245,11185102400,12808660528,12916455161,13744174690,14915001427,1.16E+11
Nigeria,NGA,GDP (current US$),4.64E+11,5.20E+11,5.74E+11,4.93E+11,4.05E+11,3.76E+11,4.22E+11,4.48E+11,4.32E+11,4.41E+11,4.58E+12
North Macedonia,MKD,GDP (current US$),9745251126,10817712139,11362272838,10064515432,10672471861,11307058382,12683070061,12606338449,12363580535,13825049832,1.15E+11
Northern Mariana Islands,MNP,GDP (current US$),746000000,772000000,832000000,910000000,1230000000,1560000000,1302000000,1182000000,0,0,8534000000
